County,Size
"Jackson County, Florida",917.76
"Jefferson County, Florida",598.10
"Lafayette County, Florida",543.41
"Lake County, Florida",938.38
"Lee County, Florida",784.51
"Leon County, Florida",666.85
"Levy County, Florida","1,118.21"
"Liberty County, Florida",835.56
"Madison County, Florida",695.95
"Manatee County, Florida",742.93
"Marion County, Florida","1,584.55"
"Martin County, Florida",543.46
"Miami-Dade County, Florida","1,897.72"
"Monroe County, Florida",983.28
"Nassau County, Florida",648.64
"Okaloosa County, Florida",930.25
"Okeechobee County, Florida",768.91
"Orange County, Florida",903.43
"Osceola County, Florida","1,327.45"
"Palm Beach County, Florida","1,969.76"
"Pasco County, Florida",746.89
"Pinellas County, Florida",273.80
"Polk County, Florida","1,797.84"
"Putnam County, Florida",727.62
"Santa Rosa County, Florida","1,011.61"
"Sarasota County, Florida",555.87
"Seminole County, Florida",309.22
"St. Johns County, Florida",600.66
"St. Lucie County, Florida",571.93
"Sumter County, Florida",546.93
"Suwannee County, Florida",688.55
"Taylor County, Florida","1,043.31"
"Union County, Florida",243.56
"Volusia County, Florida","1,101.03"
"Wakulla County, Florida",606.42
"Walton County, Florida","1,037.63"
"Washington County, Florida",582.80
"Appling County, Georgia",507.08
"Atkinson County, Georgia",339.38
"Bacon County, Georgia",258.58
"Baker County, Georgia",341.94
"Baldwin County, Georgia",257.84
"Banks County, Georgia",232.09
"Barrow County, Georgia",160.31
"Bartow County, Georgia",459.54
"Ben Hill County, Georgia",250.12
"Berrien County, Georgia",451.9
"Bibb County, Georgia",249.76
"Bleckley County, Georgia",215.87
"Brantley County, Georgia",442.36
"Brooks County, Georgia",493.05
"Bryan County, Georgia",435.97
"Bulloch County, Georgia",672.81
"Burke County, Georgia",826.97
"Butts County, Georgia",184.39
"Calhoun County, Georgia",280.37
"Camden County, Georgia",613.03
"Candler County, Georgia",243.04
"Carroll County, Georgia",499.08
"Catoosa County, Georgia",162.16
"Charlton County, Georgia",773.58
"Chatham County, Georgia",426.44
"Chattahoochee County, Georgia",248.74
